ssd_count,transition,transition_label_cn,attribution_scope,before_policy,after_policy,metric,metric_label_cn,before_value,after_value,signed_change,change_unit,signed_relative_change_percent,positive_change_meaning
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,worst_delta_us,最坏预取超期量,105183.128,105183.128,0.0,us,,退化（超期增加）
9,production_parity,Production 与消融 111 一致性,parity_check,ablation_c1_u1_e1,utility_edf_integer_l750,mean_actual_read_us,平均实际读取时间,34233.407195983586,34233.407195983586,0.0,us,0.0,退化（时间变长）
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,mean_gpu_utilization_percent,平均 GPU 利用率,76.85841627279252,85.98037928200455,9.121963009212024,pp,,改善
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,min_gpu_utilization_percent,最低 GPU 利用率,12.18638977960792,12.847023692440143,0.660633912832223,pp,,改善
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,p95_gpu_utilization_percent,P95 GPU 利用率,93.87660489360306,99.5590766538752,5.682471760272136,pp,,改善
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,max_gpu_utilization_percent,最高 GPU 利用率,94.70106413195326,99.85982212113235,5.158757989179094,pp,,改善
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,mean_ttft_us,平均 TTFT,359795.4957395034,327814.44344411057,-31981.052295392845,us,-8.888675004021602,退化（时间变长）
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,p95_ttft_us,P95 TTFT,715125.0373333334,684999.3157333335,-30125.72159999993,us,-4.212650938965483,退化（时间变长）
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,max_ttft_us,Max TTFT,792600.3455384616,763081.6511384615,-29518.694400000037,us,-3.724284826036279,退化（时间变长）
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,late_gpu_layer_count,逾期 GPU layer 数,188.0,203.0,15.0,count,,退化（数量增加）
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,p95_delta_us,P95 预取超期量,60685.7456,37468.5168,-23217.228800000004,us,,退化（超期增加）
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,worst_delta_us,最坏预取超期量,78811.7744,105183.128,26371.353600000002,us,,退化（超期增加）
9,end_to_end,完整 111 相对 Baseline,end_to_end,baseline,ablation_c1_u1_e1,mean_actual_read_us,平均实际读取时间,23840.71990260412,34233.407195983586,10392.687293379466,us,43.5921706048997,退化（时间变长）
10,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,mean_gpu_utilization_percent,平均 GPU 利用率,78.56013152582986,78.29873375946352,-0.2613977663663434,pp,,改善
10,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,min_gpu_utilization_percent,最低 GPU 利用率,13.506367279512657,36.2564583718112,22.75009109229854,pp,,改善
10,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,p95_gpu_utilization_percent,P95 GPU 利用率,94.54282126232759,87.106332153855,-7.4364891084725855,pp,,改善
10,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,max_gpu_utilization_percent,最高 GPU 利用率,95.05873264202704,90.5878411221718,-4.470891519855243,pp,,改善
10,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,mean_ttft_us,平均 TTFT,353161.2092625799,369312.7914816906,16151.582219110685,us,4.573430432191599,退化（时间变长）
10,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,p95_ttft_us,P95 TTFT,710170.5157333334,764884.0645333334,54713.54879999999,us,7.7042833499644665,退化（时间变长）
10,legacy_vs_baseline,Legacy FCFS-CIR 相对 Baseline,legacy_cir,baseline,demand_aware_fcfs_cir,max_ttft_us,Max TTFT,789946.1375384616,844482.7391384615,54536.601599999936,us,6.903837997099468,退化（时间变长）
